0,1,2,3,4,5,6,7,8,9,10
bottled beer,pip fruit,,,,,,,,,
whole milk,soda,,,,,,,,,
tropical fruit,coffee,whole milk,,,,,,,,
red/blush wine,salty snack,,,,,,,,,
whipped/sour cream,cream cheese ,,,,,,,,,
grapes,rolls/buns,,,,,,,,,
rolls/buns,yogurt,,,,,,,,,
yogurt,shopping bags,,,,,,,,,
tropical fruit,whipped/sour cream,,,,,,,,,
root vegetables,soda,coffee,,,,,,,,
bottled water,dessert,,,,,,,,,
jam,cream cheese ,,,,,,,,,
pip fruit,bottled beer,,,,,,,,,
canned beer,other vegetables,,,,,,,,,
dish cleaner,frozen potato products,,,,,,,,,
yogurt,other vegetables,,,,,,,,,
tropical fruit,canned vegetables,,,,,,,,,
whole milk,whipped/sour cream,soda,,,,,,,,
meat,bottled beer,liquor,waffles,,,,,,,
whole milk,whole milk,bottled water,,,,,,,,
beverages,jam,,,,,,,,,
beef,canned beer,,,,,,,,,
other vegetables,berries,,,,,,,,,
other vegetables,roll products ,,,,,,,,,
coffee,rolls/buns,vinegar,,,,,,,,
brown bread,dessert,,,,,,,,,
margarine,soda,,,,,,,,,
hamburger meat,toilet cleaner,rolls/buns,,,,,,,,
napkins,pastry,,,,,,,,,
butter,cleaner,red/blush wine,,,,,,,,
tropical fruit,soda,,,,,,,,,
citrus fruit,root vegetables,,,,,,,,,
soda,ham,,,,,,,,,
canned beer,rolls/buns,other vegetables,dog food,,,,,,,
sausage,bottled beer,hygiene articles,,,,,,,,
bottled beer,rolls/buns,,,,,,,,,
whole milk,nuts/prunes,,,,,,,,,
whole milk,newspapers,,,,,,,,,
rolls/buns,light bulbs,long life bakery product,,,,,,,,
herbs,pip fruit,,,,,,,,,
hard cheese,whipped/sour cream,,,,,,,,,
tropical fruit,curd,,,,,,,,,
chocolate,rolls/buns,,,,,,,,,
tropical fruit,specialty chocolate,,,,,,,,,
tropical fruit,margarine,,,,,,,,,
cream cheese ,yogurt,,,,,,,,,
hamburger meat,red/blush wine,salty snack,,,,,,,,
sausage,rolls/buns,,,,,,,,,
chicken,margarine,long life bakery product,,,,,,,,
root vegetables,domestic eggs,,,,,,,,,
yogurt,other vegetables,,,,,,,,,
sugar,shopping bags,instant coffee,,,,,,,,
other vegetables,chocolate marshmallow,,,,,,,,,
other vegetables,chocolate,,,,,,,,,
canned beer,ready soups,,,,,,,,,
domestic eggs,specialty fat,,,,,,,,,
coffee,berries,pickled vegetables,,,,,,,,
meat,domestic eggs,packaged fruit/vegetables,,,,,,,,
domestic eggs,butter milk,long life bakery product,,,,,,,,
root vegetables,salty snack,whipped/sour cream,,,,,,,,
hamburger meat,coffee,,,,,,,,,
rolls/buns,rubbing alcohol,pastry,,,,,,,,
root vegetables,sweet spreads,,,,,,,,,
root vegetables,onions,,,,,,,,,
pork,napkins,,,,,,,,,
root vegetables,rolls/buns,,,,,,,,,
frankfurter,brown bread,,,,,,,,,
whole milk,long life bakery product,,,,,,,,,
pip fruit,frozen vegetables,,,,,,,,,
root vegetables,seasonal products,,,,,,,,,
yogurt,pastry,,,,,,,,,
cake bar,butter,,,,,,,,,
pork,hamburger meat,,,,,,,,,
frankfurter,pip fruit,,,,,,,,,
frankfurter,tropical fruit,,,,,,,,,
light bulbs,pastry,UHT-milk,baking powder,,,,,,,
citrus fruit,soda,coffee,,,,,,,,
dessert,soda,pastry,whole milk,butter,rolls/buns,shopping bags,newspapers,,,
artif. sweetener,whole milk,,,,,,,,,
yogurt,rolls/buns,rolls/buns,,,,,,,,
beef,chicken,butter milk,canned beer,processed cheese,shopping bags,,,,,
bathroom cleaner,other vegetables,,,,,,,,,
canned beer,chocolate,,,,,,,,,
chicken,onions,,,,,,,,,
frankfurter,coffee,,,,,,,,,
female sanitary products,frozen fish,,,,,,,,,
yogurt,red/blush wine,margarine,,,,,,,,
fruit/vegetable juice,ice cream,,,,,,,,,
beef,pasta,,,,,,,,,
detergent,rolls/buns,,,,,,,,,
beverages,tropical fruit,ham,flour,,,,,,,
root vegetables,waffles,cream cheese ,,,,,,,,
whole milk,whole milk,semi-finished bread,brandy,,,,,,,
rolls/buns,misc. beverages,bottled water,decalcifier,semi-finished bread,soda,,,,,
yogurt,rolls/buns,,,,,,,,,
packaged fruit/vegetables,canned beer,,,,,,,,,
soda,yogurt,brown bread,,,,,,,,
tropical fruit,liquor,,,,,,,,,
onions,oil,,,,,,,,,
coffee,butter milk,,,,,,,,,
curd,frozen meals,,,,,,,,,
other vegetables,abrasive cleaner,bottled beer,,,,,,,,
berries,hard cheese,dishes,,,,,,,,
dessert,butter,,,,,,,,,
root vegetables,butter,,,,,,,,,
canned beer,shopping bags,,,,,,,,,
soda,whipped/sour cream,,,,,,,,,
waffles,shopping bags,sparkling wine,,,,,,,,
other vegetables,brown bread,bottled water,specialty bar,,,,,,,
root vegetables,domestic eggs,,,,,,,,,
ice cream,rolls/buns,,,,,,,,,
whole milk,butter,,,,,,,,,
frozen meals,white bread,cereals,ready soups,,,,,,,
sparkling wine,butter,,,,,,,,,
frankfurter,long life bakery product,,,,,,,,,
other vegetables,whole milk,sliced cheese,,,,,,,,
beef,cake bar,butter,,,,,,,,
sausage,candy,,,,,,,,,
sausage,salt,,,,,,,,,
bottled beer,white bread,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
root vegetables,whipped/sour cream,,,,,,,,,
pork,condensed milk,,,,,,,,,
chicken,whole milk,butter,soda,,,,,,,
canned beer,soda,white bread,,,,,,,,
other vegetables,bottled water,,,,,,,,,
chocolate marshmallow,whole milk,sugar,,,,,,,,
beef,rolls/buns,,,,,,,,,
canned beer,other vegetables,salty snack,,,,,,,,
ham,specialty bar,,,,,,,,,
soda,soda,,,,,,,,,
other vegetables,other vegetables,newspapers,pip fruit,,,,,,,
frozen vegetables,curd,rolls/buns,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
pickled vegetables,cream cheese ,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
citrus fruit,bottled beer,,,,,,,,,
softener,soda,,,,,,,,,
citrus fruit,brown bread,,,,,,,,,
processed cheese,brown bread,house keeping products,,,,,,,,
photo/film,vinegar,,,,,,,,,
pork,other vegetables,,,,,,,,,
other vegetables,margarine,,,,,,,,,
rolls/buns,root vegetables,,,,,,,,,
rolls/buns,sauces,,,,,,,,,
rolls/buns,pet care,,,,,,,,,
newspapers,cat food,,,,,,,,,
white bread,brown bread,,,,,,,,,
butter,beef,,,,,,,,,
root vegetables,butter,,,,,,,,,
sausage,white bread,,,,,,,,,
pip fruit,shopping bags,yogurt,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
citrus fruit,frozen meals,,,,,,,,,
whole milk,UHT-milk,,,,,,,,,
pip fruit,spread cheese,,,,,,,,,
other vegetables,frozen fish,,,,,,,,,
chicken,whole milk,margarine,soda,,,,,,,
whole milk,bottled water,,,,,,,,,
whole milk,canned beer,,,,,,,,,
pip fruit,rolls/buns,whole milk,,,,,,,,
canned fish,whole milk,,,,,,,,,
meat,pip fruit,,,,,,,,,
whole milk,citrus fruit,napkins,,,,,,,,
soda,grapes,,,,,,,,,
root vegetables,shopping bags,frozen vegetables,,,,,,,,
rolls/buns,hard cheese,,,,,,,,,
bottled beer,canned fish,yogurt,,,,,,,,
soda,bottled beer,,,,,,,,,
soda,soda,cereals,,,,,,,,
ham,whole milk,shopping bags,,,,,,,,
whole milk,grapes,bottled beer,frozen dessert,,,,,,,
UHT-milk,butter,soda,,,,,,,,
frankfurter,pork,,,,,,,,,
pork,canned fish,,,,,,,,,
butter,pastry,,,,,,,,,
root vegetables,dog food,,,,,,,,,
butter,candy,,,,,,,,,
tropical fruit,whole milk,long life bakery product,rum,,,,,,,
berries,coffee,margarine,,,,,,,,
bottled beer,hard cheese,,,,,,,,,
white wine,butter,frozen fish,,,,,,,,
pip fruit,soda,,,,,,,,,
pastry,specialty bar,flour,,,,,,,,
tropical fruit,berries,beef,butter milk,yogurt,sliced cheese,,,,,
waffles,butter milk,domestic eggs,,,,,,,,
pork,pickled vegetables,,,,,,,,,
whole milk,whole milk,,,,,,,,,
other vegetables,chocolate,white wine,,,,,,,,
ham,hard cheese,,,,,,,,,
UHT-milk,UHT-milk,,,,,,,,,
turkey,soda,rolls/buns,,,,,,,,
canned beer,butter,,,,,,,,,
rolls/buns,onions,,,,,,,,,
condensed milk,margarine,,,,,,,,,
pip fruit,dessert,,,,,,,,,
whipped/sour cream,whole milk,,,,,,,,,
root vegetables,berries,,,,,,,,,
sausage,pastry,,,,,,,,,
bottled water,other vegetables,,,,,,,,,
beef,liquor (appetizer),frozen vegetables,,,,,,,,
sausage,semi-finished bread,coffee,,,,,,,,
pastry,other vegetables,cake bar,,,,,,,,
other vegetables,UHT-milk,,,,,,,,,
chewing gum,misc. beverages,,,,,,,,,
beef,citrus fruit,tropical fruit,coffee,fruit/vegetable juice,specialty chocolate,,,,,
citrus fruit,beef,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
tropical fruit,pastry,,,,,,,,,
chicken,shopping bags,other vegetables,whole milk,,,,,,,
bottled water,other vegetables,,,,,,,,,
bottled water,cream cheese ,curd,,,,,,,,
root vegetables,frozen vegetables,,,,,,,,,
meat spreads,yogurt,,,,,,,,,
whole milk,pastry,seasonal products,berries,long life bakery product,yogurt,coffee,,,,
citrus fruit,specialty bar,,,,,,,,,
pastry,domestic eggs,napkins,,,,,,,,
ham,other vegetables,,,,,,,,,
margarine,rolls/buns,,,,,,,,,
whole milk,tropical fruit,cat food,,,,,,,,
bottled beer,bottled water,whipped/sour cream,sugar,,,,,,,
frozen vegetables,citrus fruit,,,,,,,,,
whipped/sour cream,yogurt,,,,,,,,,
chocolate,coffee,,,,,,,,,
pork,rolls/buns,,,,,,,,,
root vegetables,fruit/vegetable juice,,,,,,,,,
oil,yogurt,,,,,,,,,
margarine,whole milk,,,,,,,,,
butter,seasonal products,,,,,,,,,
long life bakery product,curd,pot plants,soda,,,,,,,
house keeping products,domestic eggs,,,,,,,,,
pork,pudding powder,domestic eggs,,,,,,,,
rolls/buns,margarine,domestic eggs,,,,,,,,
whole milk,bottled beer,,,,,,,,,
tropical fruit,ice cream,frozen fish,,,,,,,,
pork,whole milk,,,,,,,,,
other vegetables,newspapers,,,,,,,,,
sausage,cream cheese ,,,,,,,,,
whole milk,cream cheese ,,,,,,,,,
berries,white bread,,,,,,,,,
rolls/buns,rum,,,,,,,,,
processed cheese,frozen potato products,Instant food products,,,,,,,,
root vegetables,rolls/buns,whole milk,frozen vegetables,whole milk,specialty chocolate,seasonal products,,,,
whole milk,sliced cheese,,,,,,,,,
chicken,root vegetables,,,,,,,,,
pip fruit,pastry,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
margarine,bottled water,,,,,,,,,
bottled water,rolls/buns,waffles,,,,,,,,
bottled water,newspapers,,,,,,,,,
tropical fruit,pip fruit,,,,,,,,,
cat food,candy,,,,,,,,,
pork,other vegetables,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
liquor,curd,yogurt,tropical fruit,,,,,,,
tropical fruit,whole milk,rolls/buns,cream cheese ,whole milk,shopping bags,,,,,
yogurt,coffee,,,,,,,,,
beef,ice cream,rolls/buns,pip fruit,whole milk,fruit/vegetable juice,UHT-milk,,,,
whipped/sour cream,coffee,,,,,,,,,
salt,domestic eggs,,,,,,,,,
chewing gum,newspapers,candy,,,,,,,,
pip fruit,sliced cheese,sugar,,,,,,,,
sausage,grapes,,,,,,,,,
frankfurter,root vegetables,,,,,,,,,
turkey,shopping bags,whole milk,,,,,,,,
mustard,curd cheese,,,,,,,,,
citrus fruit,soda,butter,bottled water,bottled beer,,,,,,
white wine,root vegetables,,,,,,,,,
tropical fruit,waffles,,,,,,,,,
beef,soda,,,,,,,,,
brown bread,soda,,,,,,,,,
yogurt,whole milk,pickled vegetables,long life bakery product,mustard,,,,,,
oil,bottled beer,,,,,,,,,
domestic eggs,bottled water,kitchen towels,,,,,,,,
hamburger meat,root vegetables,,,,,,,,,
other vegetables,bottled beer,rolls/buns,shopping bags,,,,,,,
tropical fruit,organic products,,,,,,,,,
organic sausage,soda,rolls/buns,,,,,,,,
pork,long life bakery product,,,,,,,,,
citrus fruit,herbs,,,,,,,,,
meat,newspapers,,,,,,,,,
liquor (appetizer),cat food,,,,,,,,,
meat,domestic eggs,,,,,,,,,
sausage,hamburger meat,,,,,,,,,
citrus fruit,pet care,,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
bottled beer,hygiene articles,,,,,,,,,
other vegetables,dishes,newspapers,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
beef,condensed milk,specialty chocolate,,,,,,,,
canned beer,sugar,hygiene articles,whole milk,,,,,,,
coffee,root vegetables,whipped/sour cream,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
dessert,whole milk,,,,,,,,,
citrus fruit,sliced cheese,napkins,,,,,,,,
meat spreads,mayonnaise,,,,,,,,,
berries,fruit/vegetable juice,rolls/buns,,,,,,,,
rolls/buns,chicken,shopping bags,hard cheese,,,,,,,
cat food,rolls/buns,,,,,,,,,
soda,beef,other vegetables,soda,flour,,,,,,
pip fruit,canned beer,,,,,,,,,
long life bakery product,citrus fruit,rolls/buns,,,,,,,,
coffee,butter milk,,,,,,,,,
flour,baking powder,,,,,,,,,
beef,domestic eggs,,,,,,,,,
tropical fruit,canned fish,,,,,,,,,
misc. beverages,curd,,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
root vegetables,whole milk,newspapers,,,,,,,,
chicken,whipped/sour cream,,,,,,,,,
yogurt,canned fish,pasta,,,,,,,,
whole milk,bottled beer,,,,,,,,,
bottled beer,frozen dessert,rolls/buns,berries,rice,white bread,,,,,
frankfurter,shopping bags,,,,,,,,,
whole milk,margarine,sugar,,,,,,,,
whole milk,domestic eggs,long life bakery product,,,,,,,,
grapes,soda,,,,,,,,,
beverages,specialty bar,,,,,,,,,
sausage,white bread,,,,,,,,,
meat,domestic eggs,,,,,,,,,
soda,whipped/sour cream,,,,,,,,,
tropical fruit,root vegetables,rolls/buns,,,,,,,,
chicken,bottled water,,,,,,,,,
sausage,sliced cheese,salty snack,,,,,,,,
oil,curd,,,,,,,,,
pastry,whole milk,sausage,soda,soda,sliced cheese,domestic eggs,,,,
chicken,frankfurter,other vegetables,domestic eggs,,,,,,,
canned beer,bottled beer,pip fruit,candy,,,,,,,
sausage,yogurt,,,,,,,,,
rolls/buns,oil,yogurt,,,,,,,,
finished products,whole milk,,,,,,,,,
hamburger meat,sausage,frankfurter,soda,root vegetables,coffee,chewing gum,pastry,,,
specialty bar,candy,,,,,,,,,
sausage,misc. beverages,,,,,,,,,
sliced cheese,pudding powder,,,,,,,,,
cream cheese ,soft cheese,,,,,,,,,
chicken,rolls/buns,other vegetables,margarine,,,,,,,
soda,whole milk,,,,,,,,,
chicken,rolls/buns,newspapers,,,,,,,,
sausage,hamburger meat,,,,,,,,,
bottled beer,sugar,bottled water,,,,,,,,
ham,whole milk,candy,,,,,,,,
beef,soda,,,,,,,,,
sausage,bottled beer,,,,,,,,,
beef,dessert,,,,,,,,,
detergent,fruit/vegetable juice,,,,,,,,,
pip fruit,frozen vegetables,butter milk,,,,,,,,
root vegetables,frozen vegetables,domestic eggs,,,,,,,,
rolls/buns,whipped/sour cream,,,,,,,,,
frankfurter,butter,,,,,,,,,
bottled water,chewing gum,beef,brown bread,,,,,,,
citrus fruit,whole milk,,,,,,,,,
butter,dish cleaner,light bulbs,,,,,,,,
root vegetables,whole milk,,,,,,,,,
whipped/sour cream,whole milk,cream cheese ,napkins,,,,,,,
bottled water,whole milk,,,,,,,,,
oil,yogurt,,,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
root vegetables,turkey,bottled water,,,,,,,,
white wine,soft cheese,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
salty snack,cat food,frozen vegetables,,,,,,,,
citrus fruit,ham,onions,yogurt,pasta,newspapers,,,,,
canned beer,beef,whole milk,coffee,,,,,,,
whole milk,canned beer,,,,,,,,,
soda,mustard,,,,,,,,,
UHT-milk,margarine,,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
canned beer,sausage,onions,canned beer,,,,,,,
whole milk,bottled water,honey,,,,,,,,
tropical fruit,yogurt,candy,,,,,,,,
sausage,chicken,whipped/sour cream,sparkling wine,,,,,,,
chocolate,baking powder,,,,,,,,,
rolls/buns,processed cheese,,,,,,,,,
other vegetables,frozen vegetables,whole milk,,,,,,,,
other vegetables,salty snack,,,,,,,,,
newspapers,soda,canned beer,,,,,,,,
root vegetables,butter milk,shopping bags,cream cheese ,,,,,,,
rolls/buns,pip fruit,,,,,,,,,
whole milk,sauces,,,,,,,,,
other vegetables,other vegetables,liquor (appetizer),specialty bar,candles,red/blush wine,,,,,
waffles,bottled water,,,,,,,,,
whole milk,fruit/vegetable juice,,,,,,,,,
soda,yogurt,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
chicken,pip fruit,,,,,,,,,
napkins,tropical fruit,yogurt,sugar,,,,,,,
bottled water,shopping bags,dog food,,,,,,,,
coffee,oil,,,,,,,,,
butter,bottled beer,,,,,,,,,
brown bread,butter milk,canned vegetables,soda,,,,,,,
citrus fruit,sauces,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
rolls/buns,pip fruit,,,,,,,,,
rolls/buns,soda,shopping bags,,,,,,,,
specialty cheese,sliced cheese,,,,,,,,,
ice cream,meat spreads,,,,,,,,,
napkins,newspapers,,,,,,,,,
canned beer,domestic eggs,,,,,,,,,
bottled water,other vegetables,pastry,rolls/buns,domestic eggs,,,,,,
root vegetables,whole milk,,,,,,,,,
sausage,root vegetables,,,,,,,,,
onions,soda,,,,,,,,,
other vegetables,chocolate,,,,,,,,,
whole milk,yogurt,,,,,,,,,
pip fruit,soft cheese,,,,,,,,,
chewing gum,hamburger meat,candy,coffee,,,,,,,
soda,Instant food products,,,,,,,,,
newspapers,syrup,,,,,,,,,
bottled water,beef,,,,,,,,,
shopping bags,whole milk,,,,,,,,,
canned beer,brown bread,,,,,,,,,
misc. beverages,cling film/bags,curd,,,,,,,,
bottled water,fruit/vegetable juice,,,,,,,,,
pastry,fruit/vegetable juice,,,,,,,,,
fruit/vegetable juice,domestic eggs,,,,,,,,,
pork,cake bar,,,,,,,,,
mayonnaise,pastry,,,,,,,,,
pip fruit,pip fruit,sliced cheese,dishes,,,,,,,
citrus fruit,white bread,,,,,,,,,
soda,bathroom cleaner,,,,,,,,,
coffee,sausage,bottled water,cream cheese ,,,,,,,
frozen meals,red/blush wine,whipped/sour cream,,,,,,,,
beef,domestic eggs,,,,,,,,,
sausage,grapes,light bulbs,,,,,,,,
sugar,seasonal products,,,,,,,,,
frankfurter,ham,white wine,detergent,popcorn,,,,,,
beef,whole milk,frozen meals,,,,,,,,
coffee,yogurt,,,,,,,,,
pickled vegetables,flour,,,,,,,,,
pork,whole milk,,,,,,,,,
pork,pork,whole milk,pasta,,,,,,,
rolls/buns,pork,,,,,,,,,
shopping bags,domestic eggs,,,,,,,,,
butter,rolls/buns,cream cheese ,flour,,,,,,,
other vegetables,beverages,,,,,,,,,
canned beer,whole milk,,,,,,,,,
UHT-milk,citrus fruit,frozen vegetables,,,,,,,,
beef,citrus fruit,specialty bar,white bread,soda,vinegar,long life bakery product,domestic eggs,,,
fruit/vegetable juice,cream cheese ,,,,,,,,,
specialty chocolate,frankfurter,citrus fruit,candy,brown bread,,,,,,
butter milk,bottled beer,,,,,,,,,
newspapers,citrus fruit,,,,,,,,,
pastry,white bread,,,,,,,,,
meat,photo/film,,,,,,,,,
other vegetables,brown bread,,,,,,,,,
white bread,pip fruit,,,,,,,,,
dessert,sugar,,,,,,,,,
whole milk,bottled water,,,,,,,,,
pip fruit,newspapers,,,,,,,,,
yogurt,newspapers,,,,,,,,,
white bread,curd cheese,,,,,,,,,
rolls/buns,pip fruit,,,,,,,,,
shopping bags,fruit/vegetable juice,,,,,,,,,
other vegetables,shopping bags,packaged fruit/vegetables,,,,,,,,
frozen vegetables,specialty bar,,,,,,,,,
chicken,onions,white bread,,,,,,,,
onions,curd,,,,,,,,,
frozen fish,sausage,other vegetables,canned beer,yogurt,shopping bags,beverages,chewing gum,canned beer,,
pork,UHT-milk,rolls/buns,cleaner,newspapers,,,,,,
beef,salt,,,,,,,,,
canned beer,yogurt,coffee,,,,,,,,
sausage,beef,,,,,,,,,
beef,margarine,,,,,,,,,
softener,soda,,,,,,,,,
chicken,soda,,,,,,,,,
pork,specialty bar,soda,,,,,,,,
ham,specialty chocolate,soft cheese,,,,,,,,
berries,root vegetables,,,,,,,,,
specialty bar,soda,,,,,,,,,
soda,chewing gum,rolls/buns,flour,,,,,,,
fruit/vegetable juice,soda,,,,,,,,,
beef,yogurt,fruit/vegetable juice,,,,,,,,
pet care,dog food,,,,,,,,,
UHT-milk,hard cheese,,,,,,,,,
whole milk,shopping bags,rolls/buns,,,,,,,,
other vegetables,bottled beer,,,,,,,,,
pork,newspapers,napkins,,,,,,,,
other vegetables,whole milk,yogurt,bottled water,,,,,,,
berries,bottled beer,,,,,,,,,
frankfurter,root vegetables,,,,,,,,,
dessert,rolls/buns,,,,,,,,,
citrus fruit,whole milk,beef,shopping bags,,,,,,,
rolls/buns,other vegetables,curd,spread cheese,candles,,,,,,
whole milk,whipped/sour cream,domestic eggs,house keeping products,,,,,,,
dessert,bottled beer,,,,,,,,,
whole milk,ice cream,,,,,,,,,
canned beer,bottled water,,,,,,,,,
soda,beef,,,,,,,,,
pastry,shopping bags,,,,,,,,,
domestic eggs,domestic eggs,,,,,,,,,
long life bakery product,whole milk,pip fruit,pork,frozen dessert,,,,,,
frankfurter,butter,long life bakery product,,,,,,,,
liquor,dessert,waffles,,,,,,,,
artif. sweetener,sugar,,,,,,,,,
soda,canned beer,other vegetables,whole milk,,,,,,,
citrus fruit,fruit/vegetable juice,,,,,,,,,
beef,yogurt,,,,,,,,,
onions,pastry,,,,,,,,,
soft cheese,sugar,,,,,,,,,
dessert,yogurt,,,,,,,,,
canned fruit,whole milk,,,,,,,,,
other vegetables,whole milk,pork,onions,,,,,,,
coffee,UHT-milk,,,,,,,,,
whole milk,fruit/vegetable juice,,,,,,,,,
pickled vegetables,bottled beer,,,,,,,,,
root vegetables,dog food,,,,,,,,,
curd cheese,whole milk,long life bakery product,hard cheese,,,,,,,
domestic eggs,yogurt,,,,,,,,,
yogurt,newspapers,,,,,,,,,
berries,newspapers,,,,,,,,,
other vegetables,frozen vegetables,cling film/bags,bottled water,,,,,,,
liver loaf,chicken,rolls/buns,spread cheese,shopping bags,,,,,,
frankfurter,margarine,whole milk,soda,margarine,brown bread,margarine,frozen vegetables,,,
dessert,soft cheese,shopping bags,,,,,,,,
soda,canned vegetables,,,,,,,,,
whipped/sour cream,frozen vegetables,,,,,,,,,
yogurt,shopping bags,,,,,,,,,
butter,root vegetables,,,,,,,,,
soda,bottled water,,,,,,,,,
turkey,long life bakery product,,,,,,,,,
pip fruit,salty snack,pastry,,,,,,,,
whole milk,root vegetables,,,,,,,,,
coffee,berries,,,,,,,,,
ham,tropical fruit,frozen meals,sparkling wine,,,,,,,
pip fruit,UHT-milk,shopping bags,,,,,,,,
turkey,packaged fruit/vegetables,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
root vegetables,pastry,,,,,,,,,
other vegetables,canned beer,,,,,,,,,
citrus fruit,frozen potato products,,,,,,,,,
butter,whipped/sour cream,decalcifier,,,,,,,,
meat,cream cheese ,,,,,,,,,
sausage,frankfurter,grapes,sausage,dog food,misc. beverages,napkins,artif. sweetener,,,
tropical fruit,butter milk,brown bread,,,,,,,,
chocolate marshmallow,yogurt,,,,,,,,,
whipped/sour cream,soda,,,,,,,,,
beverages,candles,,,,,,,,,
whole milk,waffles,,,,,,,,,
whole milk,soda,other vegetables,,,,,,,,
root vegetables,pastry,,,,,,,,,
sausage,soda,curd,house keeping products,,,,,,,
whole milk,skin care,,,,,,,,,
soda,hard cheese,,,,,,,,,
hamburger meat,other vegetables,frozen dessert,oil,,,,,,,
frankfurter,other vegetables,,,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
pork,ham,specialty chocolate,whole milk,long life bakery product,detergent,,,,,
rolls/buns,oil,beverages,bottled water,,,,,,,
whipped/sour cream,newspapers,,,,,,,,,
sausage,root vegetables,bottled beer,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
sugar,butter,curd,,,,,,,,
fruit/vegetable juice,candy,,,,,,,,,
citrus fruit,root vegetables,,,,,,,,,
shopping bags,soda,,,,,,,,,
yogurt,tropical fruit,,,,,,,,,
newspapers,pastry,,,,,,,,,
tropical fruit,fruit/vegetable juice,,,,,,,,,
